use_case,algorithm,shape,maze_file,time_sec,path_len_cells,path_len_euclidean,nodes_explored,notes
UC3_NodesExplored,ThetaStar,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.010030,212,382.1665,3776,path_length=211 pct_grid=37.8%
UC3_NodesExplored,BidirectionalDijkstra,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.011362,423,422.0000,6140,path_length=422 pct_grid=61.4%
UC3_NodesExplored,DStarLite,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.074664,423,422.0000,9625,path_length=422 pct_grid=96.2%
UC3_NodesExplored,ALT,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.163688,423,422.0000,2847,path_length=422 pct_grid=28.5%
UC3_NodesExplored,AHPP,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.086205,2,140.0071,978,path_length=1 pct_grid=9.8%
UC3_NodesExplored,ThetaStar,Star,BEST_Star_100x100_Eller.maze,0.005531,0,0.0000,2204,path_length=-1 pct_grid=59.2%
UC3_NodesExplored,BidirectionalDijkstra,Star,BEST_Star_100x100_Eller.maze,0.003730,0,0.0000,2205,path_length=-1 pct_grid=59.2%
UC3_NodesExplored,DStarLite,Star,BEST_Star_100x100_Eller.maze,0.001152,0,0.0000,1,path_length=-1 pct_grid=0.0%
UC3_NodesExplored,ALT,Star,BEST_Star_100x100_Eller.maze,0.024577,0,0.0000,2204,path_length=-1 pct_grid=59.2%
UC3_NodesExplored,AHPP,Star,BEST_Star_100x100_Eller.maze,0.033864,0,0.0000,167,path_length=-1 pct_grid=4.5%
UC3_NodesExplored,ThetaStar,Triangle,BEST_Triangle_100x100_Prim.maze,0.010240,87,221.1127,3600,path_length=86 pct_grid=71.3%
UC3_NodesExplored,BidirectionalDijkstra,Triangle,BEST_Triangle_100x100_Prim.maze,0.004183,235,234.0000,2300,path_length=234 pct_grid=45.6%
UC3_NodesExplored,DStarLite,Triangle,BEST_Triangle_100x100_Prim.maze,0.035651,235,234.0000,4431,path_length=234 pct_grid=87.8%
UC3_NodesExplored,ALT,Triangle,BEST_Triangle_100x100_Prim.maze,0.074521,235,234.0000,235,path_length=234 pct_grid=4.7%
UC3_NodesExplored,AHPP,Triangle,BEST_Triangle_100x100_Prim.maze,0.048422,3,140.2203,895,path_length=2 pct_grid=17.7%
UC4_DynamicReplanning,DStarLite_Initial,Circle,BEST_Circle_100x100_Kruskal.maze,0.025783,245,244.0000,3417,path_length=244 initial_search
UC4_DynamicReplanning,DStarLite_Replan,Circle,BEST_Circle_100x100_Kruskal.maze,0.035194,0,0.0000,3308,"path_length=-1 blocked=[(15, 63), (90, 49), (50, 54)]"
UC4_DynamicReplanning,AStar_FreshSearch,Circle,BEST_Circle_100x100_Kruskal.maze,0.003653,0,0.0000,1926,"path_length=-1 blocked=[(15, 63), (90, 49), (50, 54)]"
UC4_DynamicReplanning,DStarLite_Initial,Cross,BEST_Cross_100x100_Eller.maze,0.033679,278,277.0000,4392,path_length=277 initial_search
UC4_DynamicReplanning,DStarLite_Replan,Cross,BEST_Cross_100x100_Eller.maze,0.044159,0,0.0000,4267,"path_length=-1 blocked=[(68, 50), (99, 63), (79, 56)]"
UC4_DynamicReplanning,AStar_FreshSearch,Cross,BEST_Cross_100x100_Eller.maze,0.004629,0,0.0000,2001,"path_length=-1 blocked=[(68, 50), (99, 63), (79, 56)]"
UC4_DynamicReplanning,DStarLite_Initial,Diamond,BEST_Diamond_100x100_Eller.maze,0.000092,0,0.0000,9,path_length=-1 initial_search
UC4_DynamicReplanning,DStarLite_Initial,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.078486,423,422.0000,9625,path_length=422 initial_search
UC4_DynamicReplanning,DStarLite_Replan,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.032638,0,0.0000,3264,"path_length=-1 blocked=[(46, 8), (64, 43), (77, 35)]"
UC4_DynamicReplanning,AStar_FreshSearch,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.001502,0,0.0000,855,"path_length=-1 blocked=[(46, 8), (64, 43), (77, 35)]"
UC4_DynamicReplanning,DStarLite_Initial,Star,BEST_Star_100x100_Eller.maze,0.000030,0,0.0000,1,path_length=-1 initial_search
UC4_DynamicReplanning,DStarLite_Initial,Triangle,BEST_Triangle_100x100_Prim.maze,0.034124,235,234.0000,4431,path_length=234 initial_search
UC4_DynamicReplanning,DStarLite_Replan,Triangle,BEST_Triangle_100x100_Prim.maze,0.048866,0,0.0000,4420,"path_length=-1 blocked=[(29, 12), (94, 75), (99, 93)]"
UC4_DynamicReplanning,AStar_FreshSearch,Triangle,BEST_Triangle_100x100_Prim.maze,0.000453,0,0.0000,277,"path_length=-1 blocked=[(29, 12), (94, 75), (99, 93)]"
